"","x"
"1",449390
"2",447500
"3",447126
"4",446268
"5",462853
"6",455335
"7",458519
"8",457240
"9",459264
"10",460706
"11",460974
"12",458447
"13",457399
"14",458380
"15",463343
"16",474211
"17",479306
"18",482984
"19",488644
"20",490829
"21",490787
"22",488697
"23",490463
"24",484784
"25",481026
"26",475518
"27",477611
"28",498578
"29",498207
"30",507087
"31",508641
"32",511550
"33",510653
"34",505588
"35",498880
"36",496717
"37",503669
"38",507834
"39",510869
"40",515446
"41",520134
"42",524537
"43",521534
"44",517243
"45",519556
"46",532198
"47",533583
"48",539816
"49",545190
"50",547257
"51",543146
"52",536905
"53",549473
"54",551918
"55",563582
"56",567612
"57",568880
"58",565258
"59",557870
"60",558321
"61",564861
"62",571442
"63",580282
"64",587377
"65",584405
"66",575863
"67",567270
"68",575474
"69",583184
"70",591740
"71",597101
"72",598013
"73",590999
"74",590168
"75",595281
"76",599823
"77",607142
"78",611263
"79",608364
"80",599464
"81",602529
"82",607222
"83",613249
"84",617308
"85",618410
"86",616057
"87",605147
"88",615340
"89",619807
"90",625659
"91",630904
"92",626996
"93",620626
"94",626790
"95",631089
"96",634639
"97",639120
"98",638702
"99",630366
"100",628106
"101",636597
"102",641558
"103",646670
"104",646164
"105",640989
"106",630932
"107",639959
"108",647516
"109",653324
"110",655977
"111",651948
"112",643439
"113",652535
"114",655695
"115",660875
"116",662375
"117",658128
"118",648321
"119",653215
"120",659339
"121",665221
"122",667822
"123",664171
"124",656398
"125",650441
"126",665055
"127",670629
"128",675560
"129",673589
"130",666101
"131",664401
"132",675487
"133",676686
"134",680296
"135",678345
"136",669218
"137",664757
"138",675598
"139",680374
"140",684490
"141",682148
"142",674724
"143",663858
"144",677334
"145",684711
"146",690966
"147",688274
"148",681985
"149",675921
"150",687237
"151",690744
"152",694737
"153",690662
"154",683371
"155",676415
"156",688280
"157",691489
"158",697610
"159",693309
"160",686866
"161",674295
"162",686550
"163",695562
"164",701387
"165",697687
"166",691740
"167",684265
"168",697331
"169",698915
"170",703775
"171",700265
"172",691082
"173",683334
"174",696744
"175",700244
"176",705358
"177",699996
"178",693125
"179",680061
"180",694515
"181",704372
"182",708185
"183",705929
"184",699459
"185",692056
"186",704941
